enddate,infopubldate,companycode,netprofit,
2022-09-30 00:00:00,2022-10-27 00:00:00,1450,2130648119.9,
2022-09-30 00:00:00,2022-10-21 00:00:00,1655,74514101.05,
2022-06-30 00:00:00,2022-08-26 00:00:00,1450,1544467443.99,
2022-06-30 00:00:00,2022-08-12 00:00:00,1655,48058969.52,
2022-06-30 00:00:00,2022-08-31 00:00:00,175066,283720000.0,
2022-06-30 00:00:00,2022-08-26 00:00:00,200592,None,
2022-06-30 00:00:00,2022-08-31 00:00:00,16965,3686074125.79,
2022-03-31 00:00:00,2022-04-28 00:00:00,1450,772276804.71,
2022-03-31 00:00:00,2022-04-28 00:00:00,1655,23040178.88,
2021-12-31 00:00:00,2022-04-28 00:00:00,1655,95280881.78,
2021-12-31 00:00:00,2022-03-25 00:00:00,200592,None,
2021-12-31 00:00:00,2022-04-22 00:00:00,175066,154230000.0,
2021-12-31 00:00:00,2022-04-15 00:00:00,16965,7372704110.24,
2021-12-31 00:00:00,2022-04-29 00:00:00,292002,428345616.01,
2021-12-31 00:00:00,2022-03-25 00:00:00,1450,409345417.08,
2021-09-30 00:00:00,2022-10-27 00:00:00,1450,603851667.59,
2021-09-30 00:00:00,2021-10-28 00:00:00,1450,603304096.39,
2021-09-30 00:00:00,2022-10-21 00:00:00,1655,60481709.67,
2021-09-30 00:00:00,2021-10-22 00:00:00,1655,60481709.67,
2021-06-30 00:00:00,2022-08-12 00:00:00,1655,34611440.16,
2021-06-30 00:00:00,2021-08-27 00:00:00,175066,-42080000.0,
2021-06-30 00:00:00,2021-08-06 00:00:00,1655,34611440.16,
2021-06-30 00:00:00,2021-08-31 00:00:00,16965,1964000000.0,
2021-06-30 00:00:00,2021-08-26 00:00:00,1450,421985308.17,
2021-06-30 00:00:00,2021-08-31 00:00:00,150481,2485768721.46,
2021-06-30 00:00:00,2022-08-26 00:00:00,1450,422437456.56,
2021-06-30 00:00:00,2021-08-26 00:00:00,200592,None,
2021-06-30 00:00:00,2022-08-31 00:00:00,16965,1963527758.7,
2021-03-31 00:00:00,2022-04-28 00:00:00,1450,200301925.35,
2021-03-31 00:00:00,2021-04-28 00:00:00,1655,13952151.32,
2021-03-31 00:00:00,2021-04-23 00:00:00,1450,200301925.35,
2021-03-31 00:00:00,2022-04-28 00:00:00,1655,13952151.32,
2020-12-31 00:00:00,2021-04-30 00:00:00,292002,421780337.24,
2020-12-31 00:00:00,2022-04-28 00:00:00,1655,17528492.16,
2020-12-31 00:00:00,2022-04-15 00:00:00,16965,2304262384.63,
2020-12-31 00:00:00,2021-04-23 00:00:00,150481,3135969366.25,
2020-12-31 00:00:00,2021-04-28 00:00:00,1655,17528492.16,
2020-12-31 00:00:00,2021-04-20 00:00:00,175066,-439640000.0,
2020-12-31 00:00:00,2022-04-29 00:00:00,292002,421780337.24,
2020-12-31 00:00:00,2021-04-27 00:00:00,200592,None,
2020-12-31 00:00:00,2021-04-15 00:00:00,16965,2304262384.63,
2020-12-31 00:00:00,2021-03-25 00:00:00,1450,600566211.38,
2020-12-31 00:00:00,2022-03-25 00:00:00,1450,600566211.38,
2020-09-30 00:00:00,2020-10-27 00:00:00,1655,16061449.45,
2020-09-30 00:00:00,2021-10-28 00:00:00,1450,559060148.22,
2020-09-30 00:00:00,2021-10-22 00:00:00,1655,16061449.45,
2020-09-30 00:00:00,2020-10-29 00:00:00,1450,559060148.22,
2020-09-30 00:00:00,2020-10-29 00:00:00,292002,337629005.79,
2020-06-30 00:00:00,2020-08-18 00:00:00,150481,1510600857.49,
2020-06-30 00:00:00,2021-08-31 00:00:00,16965,816000000.0,
2020-06-30 00:00:00,2020-08-29 00:00:00,16965,816918414.12,
2020-06-30 00:00:00,2021-08-06 00:00:00,1655,12880610.29,
2020-06-30 00:00:00,2020-08-08 00:00:00,1655,12880610.29,
2020-06-30 00:00:00,2021-08-26 00:00:00,1450,447635302.94,
2020-06-30 00:00:00,2020-08-29 00:00:00,1450,447635302.94,
2020-06-30 00:00:00,2020-08-28 00:00:00,292002,249331426.22,
2020-06-30 00:00:00,2020-08-29 00:00:00,200592,None,
2020-06-30 00:00:00,2020-08-28 00:00:00,175066,-187370000.0,
2020-06-30 00:00:00,2021-08-31 00:00:00,150481,1510600857.49,
2020-03-31 00:00:00,2020-04-17 00:00:00,1655,7241335.27,
2020-03-31 00:00:00,2021-04-23 00:00:00,1450,216722248.65,
2020-03-31 00:00:00,2021-04-28 00:00:00,1655,7241335.27,
2020-03-31 00:00:00,2020-04-29 00:00:00,1450,216722248.65,
2020-03-31 00:00:00,2020-04-30 00:00:00,292002,119285551.6,
2020-03-31 00:00:00,2020-04-28 00:00:00,150481,801301109.61,
2019-12-31 00:00:00,2021-04-28 00:00:00,1655,56030673.24,
2019-12-31 00:00:00,2020-03-21 00:00:00,1450,488677237.64,
2019-12-31 00:00:00,2020-04-15 00:00:00,16965,1932547099.97,
2019-12-31 00:00:00,2021-04-15 00:00:00,16965,1926170595.5,
2019-12-31 00:00:00,2020-03-21 00:00:00,200592,None,
2019-12-31 00:00:00,2020-03-05 00:00:00,1655,56030673.24,
2019-12-31 00:00:00,2020-04-30 00:00:00,292002,343139008.37,
2019-12-31 00:00:00,2021-03-25 00:00:00,1450,488677237.64,
2019-12-31 00:00:00,2021-04-23 00:00:00,150481,3443658721.86,
2019-12-31 00:00:00,2020-04-27 00:00:00,150481,3443658721.86,
2019-12-31 00:00:00,2021-04-30 00:00:00,292002,185526022.57,
2019-12-31 00:00:00,2020-04-28 00:00:00,175066,36780000.0,
2019-09-30 00:00:00,2020-10-27 00:00:00,1655,44523278.31,
2019-09-30 00:00:00,2019-10-16 00:00:00,1655,44523278.31,
2019-09-30 00:00:00,2020-10-29 00:00:00,1450,621973741.8,
2019-09-30 00:00:00,2019-10-29 00:00:00,1450,621973741.8,
2019-09-30 00:00:00,2020-10-29 00:00:00,292002,269546977.42,
2019-09-30 00:00:00,2019-10-22 00:00:00,292002,269546977.42,
2019-09-30 00:00:00,2019-10-28 00:00:00,150481,2764726869.82,
2019-06-30 00:00:00,2020-08-29 00:00:00,1450,454390392.27,
2019-06-30 00:00:00,2020-08-08 00:00:00,1655,30115134.88,
2019-06-30 00:00:00,2020-08-29 00:00:00,16965,907751961.73,
2019-06-30 00:00:00,2019-08-24 00:00:00,1450,454390392.27,
2019-06-30 00:00:00,2019-08-16 00:00:00,292002,205067258.89,
2019-06-30 00:00:00,2019-08-24 00:00:00,200592,None,
2019-06-30 00:00:00,2019-08-30 00:00:00,16965,850390575.22,
2019-06-30 00:00:00,2019-08-28 00:00:00,175066,126030000.0,
2019-06-30 00:00:00,2019-08-13 00:00:00,150481,1910735005.83,
2019-06-30 00:00:00,2020-08-28 00:00:00,292002,205067258.89,
2019-06-30 00:00:00,2019-07-25 00:00:00,1655,30115134.88,
2019-06-30 00:00:00,2020-08-18 00:00:00,150481,1910735005.83,
2019-03-31 00:00:00,2019-04-18 00:00:00,1655,10125519.23,
2019-03-31 00:00:00,2020-04-29 00:00:00,1450,225932123.66,
2019-03-31 00:00:00,2020-04-28 00:00:00,150481,960156013.03,
2019-03-31 00:00:00,2019-04-24 00:00:00,1450,225932123.66,
2019-03-31 00:00:00,2020-04-30 00:00:00,292002,109183248.79,
2019-03-31 00:00:00,2019-04-29 00:00:00,292002,109183248.79,
2019-03-31 00:00:00,2019-04-30 00:00:00,150481,953988544.5,
2019-03-31 00:00:00,2020-04-17 00:00:00,1655,10125519.23,
2018-12-31 00:00:00,2020-03-05 00:00:00,1655,108607453.8,
2018-12-31 00:00:00,2019-03-16 00:00:00,1450,581774493.39,
2018-12-31 00:00:00,2019-03-28 00:00:00,16965,1655379799.18,
2018-12-31 00:00:00,2020-04-15 00:00:00,16965,1699939502.48,
2018-12-31 00:00:00,2019-03-16 00:00:00,200592,None,
2018-12-31 00:00:00,2019-02-13 00:00:00,1655,108607453.8,
2018-12-31 00:00:00,2019-04-28 00:00:00,292002,290975102.79,
2018-12-31 00:00:00,2020-03-21 00:00:00,1450,581774493.39,
2018-12-31 00:00:00,2020-04-27 00:00:00,150481,3917483368.92,
2018-12-31 00:00:00,2019-04-30 00:00:00,150481,3905436964.78,
2018-12-31 00:00:00,2020-04-30 00:00:00,292002,290975102.79,
2018-12-31 00:00:00,2019-04-26 00:00:00,175066,185440000.0,
2018-09-30 00:00:00,2019-10-16 00:00:00,1655,72761053.84,
2018-09-30 00:00:00,2018-10-16 00:00:00,1655,72761053.84,
2018-09-30 00:00:00,2019-10-29 00:00:00,1450,727419860.15,
2018-09-30 00:00:00,2018-10-24 00:00:00,1450,727419860.15,
2018-09-30 00:00:00,2019-10-22 00:00:00,292002,248960498.96,
2018-09-30 00:00:00,2019-10-28 00:00:00,150481,2788464889.13,
2018-09-30 00:00:00,2018-10-30 00:00:00,150481,2777482267.13,
2018-06-30 00:00:00,2018-08-29 00:00:00,150481,1822311688.34,
2018-06-30 00:00:00,2019-08-30 00:00:00,16965,701992277.14,
2018-06-30 00:00:00,2018-08-22 00:00:00,1450,583664370.57,
2018-06-30 00:00:00,2019-08-24 00:00:00,1450,583664370.57,
2018-06-30 00:00:00,2019-08-13 00:00:00,150481,1828587115.68,
2018-06-30 00:00:00,2018-07-26 00:00:00,1655,35546969.17,
2018-06-30 00:00:00,2019-08-16 00:00:00,292002,186891866.98,
2018-06-30 00:00:00,2019-07-25 00:00:00,1655,35546969.17,
2018-03-31 00:00:00,2018-04-28 00:00:00,1450,330420517.12,
2018-03-31 00:00:00,2019-04-18 00:00:00,1655,5383286.55,
2018-03-31 00:00:00,2019-04-24 00:00:00,1450,330420517.12,
2018-03-31 00:00:00,2019-04-30 00:00:00,150481,1014753753.9,
2018-03-31 00:00:00,2019-04-29 00:00:00,292002,96124576.54,
2018-03-31 00:00:00,2018-04-13 00:00:00,1655,5383286.55,
2018-03-31 00:00:00,2018-04-27 00:00:00,150481,1014753753.9,
2017-12-31 00:00:00,2019-02-13 00:00:00,1655,60801888.47,
2017-12-31 00:00:00,2018-02-10 00:00:00,1655,60801888.47,
2017-12-31 00:00:00,2018-03-21 00:00:00,1450,315356295.34,
2017-12-31 00:00:00,2019-04-28 00:00:00,292002,292433853.83,
2017-12-31 00:00:00,2018-03-09 00:00:00,150481,3231464245.54,
2017-12-31 00:00:00,2019-04-30 00:00:00,150481,3231464245.54,
2017-12-31 00:00:00,2019-03-28 00:00:00,16965,1224066289.28,
2017-12-31 00:00:00,2019-03-16 00:00:00,1450,315356295.34,
2017-09-30 00:00:00,2017-10-31 00:00:00,150481,2447514917.24,
2017-09-30 00:00:00,2017-10-21 00:00:00,1655,59521221.05,
2017-09-30 00:00:00,2017-10-28 00:00:00,1450,498897274.26,
2017-09-30 00:00:00,2018-10-30 00:00:00,150481,2618505070.0,
2017-09-30 00:00:00,2018-10-16 00:00:00,1655,59521221.05,
2017-09-30 00:00:00,2018-10-24 00:00:00,1450,498897274.26,
2017-06-30 00:00:00,2018-07-26 00:00:00,1655,40554387.18,
2017-06-30 00:00:00,2017-08-03 00:00:00,1655,40554387.18,
2017-06-30 00:00:00,2018-08-22 00:00:00,1450,287948408.69,
2017-06-30 00:00:00,2017-08-24 00:00:00,1450,287948408.69,
2017-06-30 00:00:00,2017-08-28 00:00:00,175066,491331881.55,
2017-06-30 00:00:00,2018-08-29 00:00:00,150481,1234391551.46,
2017-06-30 00:00:00,2017-08-28 00:00:00,150481,1234391551.46,
2017-03-31 00:00:00,2018-04-27 00:00:00,150481,567980904.09,
2017-03-31 00:00:00,2017-04-28 00:00:00,175066,374669445.33,
2017-03-31 00:00:00,2018-04-28 00:00:00,1450,158827659.5,
2017-03-31 00:00:00,2017-04-20 00:00:00,1655,24900115.27,
2017-03-31 00:00:00,2018-04-13 00:00:00,1655,24900115.27,
2017-03-31 00:00:00,2017-04-28 00:00:00,1450,158827659.5,
2017-03-31 00:00:00,2017-04-28 00:00:00,150481,567980904.09,
2016-12-31 00:00:00,2017-03-23 00:00:00,1450,413424111.14,
2016-12-31 00:00:00,2017-04-28 00:00:00,150481,887354014.11,
2016-12-31 00:00:00,2017-03-15 00:00:00,1655,43130757.49,
2016-12-31 00:00:00,2018-03-21 00:00:00,1450,413424111.14,
2016-12-31 00:00:00,2017-04-29 00:00:00,175066,197334227.97,
2016-12-31 00:00:00,2018-03-09 00:00:00,150481,268815997.31,
2016-12-31 00:00:00,2018-02-10 00:00:00,1655,43130757.49,
2016-09-30 00:00:00,2016-10-29 00:00:00,1450,282206696.16,
2016-09-30 00:00:00,2017-10-28 00:00:00,1450,282206696.16,
2016-09-30 00:00:00,2016-10-25 00:00:00,1655,23883650.68,
2016-09-30 00:00:00,2016-10-31 00:00:00,175066,-293214912.51,
2016-09-30 00:00:00,2017-10-31 00:00:00,150481,1152985.54,
2016-09-30 00:00:00,2017-03-09 00:00:00,150481,1152985.54,
2016-09-30 00:00:00,2017-10-21 00:00:00,1655,23883650.68,
2016-09-30 00:00:00,2016-10-31 00:00:00,150481,1152985.54,
2016-06-30 00:00:00,2016-08-31 00:00:00,150481,-350405874.37,
2016-06-30 00:00:00,2017-08-03 00:00:00,1655,9962774.29,
2016-06-30 00:00:00,2016-08-08 00:00:00,1655,9962774.29,
2016-06-30 00:00:00,2017-08-24 00:00:00,1450,275945901.78,
2016-06-30 00:00:00,2016-08-25 00:00:00,1450,275945901.78,
2016-06-30 00:00:00,2017-08-28 00:00:00,175066,-222447557.04,
2016-06-30 00:00:00,2016-08-31 00:00:00,175066,-222447557.04,
2016-06-30 00:00:00,2017-08-28 00:00:00,150481,-350405874.37,
2016-03-31 00:00:00,2017-04-28 00:00:00,1450,3992919.69,
2016-03-31 00:00:00,2016-04-29 00:00:00,175066,15111793.95,
2016-03-31 00:00:00,2016-04-28 00:00:00,1450,3992919.69,
2016-03-31 00:00:00,2016-04-29 00:00:00,200592,-275319905.64,
2016-03-31 00:00:00,2016-04-26 00:00:00,1655,2629931.3,
2016-03-31 00:00:00,2017-04-28 00:00:00,175066,15111793.95,
2016-03-31 00:00:00,2017-04-20 00:00:00,1655,2629931.3,
2016-03-31 00:00:00,2016-04-29 00:00:00,150481,-310493481.84,
2015-12-31 00:00:00,2016-03-23 00:00:00,1450,-29738735.67,
2015-12-31 00:00:00,2016-01-29 00:00:00,1655,253494193.77,
2015-12-31 00:00:00,2017-04-29 00:00:00,175066,-444146245.23,
2015-12-31 00:00:00,2017-03-15 00:00:00,1655,253494193.77,
2015-12-31 00:00:00,2016-04-29 00:00:00,150481,-2190601247.59,
2015-12-31 00:00:00,2017-03-23 00:00:00,1450,-29738735.67,
2015-12-31 00:00:00,2016-04-29 00:00:00,200592,-2893569753.73,
2015-12-31 00:00:00,2016-04-27 00:00:00,175066,-444146245.23,
2015-12-31 00:00:00,2017-04-28 00:00:00,150481,-1947548106.56,
2015-09-30 00:00:00,2015-10-28 00:00:00,1450,1059877.66,
2015-09-30 00:00:00,2015-10-30 00:00:00,175066,-214657599.93,
2015-09-30 00:00:00,2016-10-31 00:00:00,175066,-260138825.62,
2015-09-30 00:00:00,2015-10-20 00:00:00,1655,243534575.36,
2015-09-30 00:00:00,2015-10-30 00:00:00,200592,-2380084896.15,
2015-09-30 00:00:00,2017-03-09 00:00:00,150481,-1743325337.15,
2015-09-30 00:00:00,2016-10-31 00:00:00,150481,-1743325337.15,
2015-09-30 00:00:00,2016-04-18 00:00:00,150481,-1743325337.15,
2015-09-30 00:00:00,2016-03-25 00:00:00,150481,-1743325337.15,
2015-09-30 00:00:00,2015-10-29 00:00:00,150481,-1743325337.15,
2015-09-30 00:00:00,2016-10-29 00:00:00,1450,1059877.66,
2015-09-30 00:00:00,2015-10-27 00:00:00,16965,846030170.88,
2015-09-30 00:00:00,2016-10-25 00:00:00,1655,243534575.36,
2015-06-30 00:00:00,2015-08-28 00:00:00,150481,-1075611024.99,
2015-06-30 00:00:00,2015-08-18 00:00:00,1655,-130632204.91,
2015-06-30 00:00:00,2016-08-31 00:00:00,150481,-1075611024.99,
2015-06-30 00:00:00,2016-08-25 00:00:00,1450,1634969.01,
2015-06-30 00:00:00,2016-08-08 00:00:00,1655,-130632204.91,
2015-06-30 00:00:00,2015-08-21 00:00:00,16965,556726655.42,
2015-06-30 00:00:00,2015-08-22 00:00:00,1450,1634969.01,
2015-06-30 00:00:00,2015-08-25 00:00:00,175066,-87807372.16,
2015-06-30 00:00:00,2016-08-31 00:00:00,175066,-87814623.04,
2015-06-30 00:00:00,2015-08-28 00:00:00,200592,-1336605400.46,
2015-03-31 00:00:00,2016-04-29 00:00:00,200592,-230572943.21,
2015-03-31 00:00:00,2016-04-29 00:00:00,175066,102008412.76,
2015-03-31 00:00:00,2015-04-22 00:00:00,175066,97717794.32,
2015-03-31 00:00:00,2016-04-29 00:00:00,150481,-463419349.61,
2015-03-31 00:00:00,2015-06-05 00:00:00,150481,-470377542.92,
2015-03-31 00:00:00,2015-04-30 00:00:00,150481,-470377542.92,
2015-03-31 00:00:00,2015-04-23 00:00:00,16965,227484634.24,
2015-03-31 00:00:00,2016-04-26 00:00:00,1655,-47402178.11,
2015-03-31 00:00:00,2015-04-20 00:00:00,1655,-47402178.11,
2015-03-31 00:00:00,2016-04-28 00:00:00,1450,7205173.01,
2015-03-31 00:00:00,2015-04-25 00:00:00,1450,7205173.01,
2015-03-31 00:00:00,2015-08-27 00:00:00,150481,-470377542.92,
2014-12-31 00:00:00,2015-04-20 00:00:00,1655,-300586264.59,
2014-12-31 00:00:00,2016-01-29 00:00:00,1655,-300586264.59,
2014-12-31 00:00:00,2016-04-27 00:00:00,175066,-75949678.07,
2014-12-31 00:00:00,2015-03-21 00:00:00,1450,15776175.0,
2014-12-31 00:00:00,2015-04-23 00:00:00,16965,1282817924.61,
2014-12-31 00:00:00,2015-04-30 00:00:00,150481,-1578708780.11,
2014-12-31 00:00:00,2015-04-22 00:00:00,175066,-687645891.1,
2014-12-31 00:00:00,2016-03-23 00:00:00,1450,15776175.0,
2014-12-31 00:00:00,2016-04-29 00:00:00,200592,81992152.67,
2014-12-31 00:00:00,2016-04-29 00:00:00,150481,-1574703087.55,
2014-09-30 00:00:00,2014-10-18 00:00:00,1655,-174158152.05,
2014-09-30 00:00:00,2015-10-28 00:00:00,1450,39889234.29,
2014-09-30 00:00:00,2014-10-24 00:00:00,1450,39889234.29,
2014-09-30 00:00:00,2014-10-30 00:00:00,150481,-979370358.07,
2014-09-30 00:00:00,2015-10-30 00:00:00,200592,112699140.43,
2014-09-30 00:00:00,2015-10-30 00:00:00,175066,-122991640.77,
2014-09-30 00:00:00,2014-10-30 00:00:00,175066,-401819865.98,
2014-09-30 00:00:00,2016-04-18 00:00:00,150481,-974742908.92,
2014-09-30 00:00:00,2016-03-25 00:00:00,150481,-974742908.92,
2014-09-30 00:00:00,2015-10-29 00:00:00,150481,-974742908.92,
2014-09-30 00:00:00,2015-03-02 00:00:00,150481,-979370358.07,
2014-09-30 00:00:00,2014-11-25 00:00:00,150481,-979370358.07,
2014-09-30 00:00:00,2015-10-27 00:00:00,16965,841869239.66,
2014-09-30 00:00:00,2015-10-20 00:00:00,1655,-174158152.05,
2014-06-30 00:00:00,2015-08-28 00:00:00,200592,519951005.92,
2014-06-30 00:00:00,2015-08-25 00:00:00,175066,-39648360.79,
2014-06-30 00:00:00,2014-07-31 00:00:00,1655,-98949657.66,
2014-06-30 00:00:00,2015-08-21 00:00:00,16965,560818382.43,
2014-06-30 00:00:00,2014-08-22 00:00:00,175066,-247073949.14,
2014-06-30 00:00:00,2015-08-22 00:00:00,1450,39787087.29,
2014-06-30 00:00:00,2014-08-28 00:00:00,150481,-381397641.93,
2014-06-30 00:00:00,2014-09-09 00:00:00,150481,-381397641.93,
2014-06-30 00:00:00,2015-08-18 00:00:00,1655,-98949657.66,
2014-06-30 00:00:00,2015-08-28 00:00:00,150481,-381397641.93,
2014-06-30 00:00:00,2014-08-16 00:00:00,1450,39787087.29,
2014-03-31 00:00:00,2014-04-28 00:00:00,175066,-80035261.5,
2014-03-31 00:00:00,2015-04-20 00:00:00,1655,-27049484.94,
2014-03-31 00:00:00,2014-06-20 00:00:00,150481,-119804343.12,
2014-03-31 00:00:00,2014-04-19 00:00:00,1655,-27049484.94,
2014-03-31 00:00:00,2014-04-26 00:00:00,1450,26350695.88,
2014-03-31 00:00:00,2015-04-25 00:00:00,1450,26350695.88,
2014-03-31 00:00:00,2015-09-02 00:00:00,150481,14215656.88,
2014-03-31 00:00:00,2015-08-27 00:00:00,150481,14215656.88,
2014-03-31 00:00:00,2015-06-05 00:00:00,150481,14215656.88,
2014-03-31 00:00:00,2015-04-22 00:00:00,175066,118325597.92,
2014-03-31 00:00:00,2015-04-30 00:00:00,150481,14215656.88,
2013-12-31 00:00:00,2014-03-25 00:00:00,1655,-148873819.17,
2013-12-31 00:00:00,2015-04-22 00:00:00,175066,54383895.22,
2013-12-31 00:00:00,2015-04-20 00:00:00,1655,-148873819.17,
2013-12-31 00:00:00,2014-03-19 00:00:00,1450,135233746.7,
2013-12-31 00:00:00,2015-04-23 00:00:00,16965,1305820912.47,
2013-12-31 00:00:00,2015-04-30 00:00:00,150481,113858204.92,
2013-12-31 00:00:00,2014-04-29 00:00:00,175066,54383895.22,
2013-12-31 00:00:00,2015-03-21 00:00:00,1450,135233746.7,
2013-12-31 00:00:00,2014-04-28 00:00:00,175066,54383895.22,
2013-09-30 00:00:00,2013-10-19 00:00:00,1655,-68725347.25,
2013-09-30 00:00:00,2014-10-24 00:00:00,1450,194474838.38,
2013-09-30 00:00:00,2013-10-26 00:00:00,1450,194474838.38,
2013-09-30 00:00:00,2014-10-30 00:00:00,175066,80609706.09,
2013-09-30 00:00:00,2013-10-28 00:00:00,175066,80609706.09,
2013-09-30 00:00:00,2015-03-02 00:00:00,150481,103565867.94,
2013-09-30 00:00:00,2014-11-25 00:00:00,150481,103565867.94,
2013-09-30 00:00:00,2014-10-30 00:00:00,150481,103565867.94,
2013-09-30 00:00:00,2014-10-18 00:00:00,1655,-68725347.25,
2013-06-30 00:00:00,2014-08-28 00:00:00,150481,107813230.48,
2013-06-30 00:00:00,2014-09-09 00:00:00,150481,107813230.48,
2013-06-30 00:00:00,2014-07-31 00:00:00,1655,1742317.07,
2013-06-30 00:00:00,2013-07-31 00:00:00,1655,1742317.07,
2013-06-30 00:00:00,2013-08-22 00:00:00,175066,39669877.56,
2013-06-30 00:00:00,2014-08-16 00:00:00,1450,210935625.25,
2013-06-30 00:00:00,2014-08-22 00:00:00,175066,39669877.56,
2013-06-30 00:00:00,2013-08-21 00:00:00,1450,210935625.25,
2013-03-31 00:00:00,2014-04-28 00:00:00,175066,85109193.03,
2013-03-31 00:00:00,2013-04-27 00:00:00,175066,85109193.03,
2013-03-31 00:00:00,2013-04-20 00:00:00,1655,-5305417.79,
2013-03-31 00:00:00,2014-06-20 00:00:00,150481,-484998149.24,
2013-03-31 00:00:00,2013-04-27 00:00:00,1450,146719811.41,
2013-03-31 00:00:00,2014-04-26 00:00:00,1450,146719811.41,
2013-03-31 00:00:00,2014-04-19 00:00:00,1655,-5305417.79,
2012-12-31 00:00:00,2014-04-29 00:00:00,175066,280064473.68,
2012-12-31 00:00:00,2014-03-19 00:00:00,1450,935267293.8,
2012-12-31 00:00:00,2014-04-28 00:00:00,175066,280064473.68,
2012-12-31 00:00:00,2013-03-16 00:00:00,1450,935267293.8,
2012-12-31 00:00:00,2014-03-25 00:00:00,1655,128939258.25,
2012-12-31 00:00:00,2013-01-25 00:00:00,1655,78814999.56,
2012-12-31 00:00:00,2013-04-27 00:00:00,175066,366280057.22,
2012-09-30 00:00:00,2013-10-26 00:00:00,1450,749939135.33,
2012-09-30 00:00:00,2012-10-24 00:00:00,1450,749939135.33,
2012-09-30 00:00:00,2012-10-20 00:00:00,1655,-46292218.57,
2012-09-30 00:00:00,2013-10-28 00:00:00,175066,451598593.04,
2012-09-30 00:00:00,2013-10-19 00:00:00,1655,-18464092.31,
2012-06-30 00:00:00,2013-07-31 00:00:00,1655,13997495.36,
2012-06-30 00:00:00,2013-08-21 00:00:00,1450,596595583.63,
2012-06-30 00:00:00,2013-08-22 00:00:00,175066,517821531.48,
2012-06-30 00:00:00,2012-08-22 00:00:00,1450,596595583.63,
2012-06-30 00:00:00,2012-08-16 00:00:00,1655,-9445646.79,
2012-03-31 00:00:00,2012-04-17 00:00:00,1655,2734573.13,
