regionname,indicatornameen,infopubldate,enddate,indicatorcode,datavalue ,,
俄罗斯联邦,Implied PPP conversion rate,2021-04-06 00:00:00,2019-12-31 00:00:00,500901011,26.212,,
俄罗斯联邦,Total investment:Percent of GDP,2021-04-06 00:00:00,2019-12-31 00:00:00,500901012,22.662,,
俄罗斯联邦,Inflation, average consumer prices,2021-04-06 00:00:00,2019-12-31 00:00:00,500901014,119.284,
俄罗斯联邦,Inflation, average consumer prices,2021-04-06 00:00:00,2019-12-31 00:00:00,500901015,4.47,
俄罗斯联邦,Inflation, end of period consumer prices,2021-04-06 00:00:00,2019-12-31 00:00:00,500901016,116.077,
俄罗斯联邦,Volume of imports of goods and services,2021-04-06 00:00:00,2019-12-31 00:00:00,500901018,2.777,,
俄罗斯联邦,Volume of Imports of goods,2021-04-06 00:00:00,2019-12-31 00:00:00,500901019,3.025,,
俄罗斯联邦,Volume of exports of goods and services,2021-04-06 00:00:00,2019-12-31 00:00:00,500901020,-3.348,,
俄罗斯联邦,Unemployment rate,2021-04-06 00:00:00,2019-12-31 00:00:00,500901022,4.6,,
俄罗斯联邦,Population,2021-04-06 00:00:00,2019-12-31 00:00:00,500901023,146.749,,
俄罗斯联邦,General government revenue,2021-04-06 00:00:00,2019-12-31 00:00:00,500901024,39110.3,,
俄罗斯联邦,General government revenue:Percent of GDP,2021-04-06 00:00:00,2019-12-31 00:00:00,500901025,35.682,,
俄罗斯联邦,General government total expenditure,2021-04-06 00:00:00,2019-12-31 00:00:00,500901026,36995.28,,
俄罗斯联邦,General government net lending/borrowing,2021-04-06 00:00:00,2019-12-31 00:00:00,500901028,2115.02,,
俄罗斯联邦,General government net lending/borrowing:Percent of GDP,2021-04-06 00:00:00,2019-12-31 00:00:00,500901029,1.93,,
俄罗斯联邦,General government structural balance,2021-04-06 00:00:00,2019-12-31 00:00:00,500901030,2183.83,,
俄罗斯联邦,General government structural balance:Percent of potential GDP,2021-04-06 00:00:00,2019-12-31 00:00:00,500901031,1.987,,
俄罗斯联邦,General government primary net lending/borrowing,2021-04-06 00:00:00,2019-12-31 00:00:00,500901032,2411.08,,
俄罗斯联邦,General government primary net lending/borrowing:Percent of GDP,2021-04-06 00:00:00,2019-12-31 00:00:00,500901033,2.2,,
俄罗斯联邦,General government gross debt,2021-04-06 00:00:00,2019-12-31 00:00:00,500901034,15068.42,,
俄罗斯联邦,General government gross debt:Percent of GDP,2021-04-06 00:00:00,2019-12-31 00:00:00,500901035,13.748,,
俄罗斯联邦,Gross domestic product corresponding to fiscal year, current prices,2021-04-06 00:00:00,2019-12-31 00:00:00,500901036,109608.3,
俄罗斯联邦,Current account balance,2021-04-06 00:00:00,2019-12-31 00:00:00,500901037,65.65,,
俄罗斯联邦,Current account balance:Percent of GDP,2021-04-06 00:00:00,2019-12-31 00:00:00,500901038,3.872,,
中国,General government revenue,2022-10-11 00:00:00,2019-12-31 00:00:00,501201024,27790.09,,
中国,General government revenue:Percent of GDP,2022-10-11 00:00:00,2019-12-31 00:00:00,501201025,28.051,,
中国,General government total expenditure,2022-10-11 00:00:00,2019-12-31 00:00:00,501201026,33835.28,,
中国,General government total expenditure:Percent of GDP,2022-10-11 00:00:00,2019-12-31 00:00:00,501201027,34.153,,
中国,General government net lending/borrowing,2022-10-11 00:00:00,2019-12-31 00:00:00,501201028,-6045.18,,
中国,General government net lending/borrowing:Percent of GDP,2022-10-11 00:00:00,2019-12-31 00:00:00,501201029,-6.102,,
中国,General government structural balance,2022-10-11 00:00:00,2019-12-31 00:00:00,501201030,-5706.83,,
中国,General government structural balance:Percent of potential GDP,2022-10-11 00:00:00,2019-12-31 00:00:00,501201031,-5.703,,
中国,General government primary net lending/borrowing,2022-10-11 00:00:00,2019-12-31 00:00:00,501201032,-5200.93,,
中国,General government primary net lending/borrowing:Percent of GDP,2022-10-11 00:00:00,2019-12-31 00:00:00,501201033,-5.25,,
中国,General government gross debt,2022-10-11 00:00:00,2019-12-31 00:00:00,501201034,56712.46,,
中国,General government gross debt:Percent of GDP,2022-10-11 00:00:00,2019-12-31 00:00:00,501201035,57.244,,
中国,Gross domestic product corresponding to fiscal year, current prices,2022-10-11 00:00:00,2019-12-31 00:00:00,501201036,99070.84,
中国,Current account balance,2021-04-06 00:00:00,2019-12-31 00:00:00,501201037,102.91,,
中国,Current account balance:Percent of GDP,2021-04-06 00:00:00,2019-12-31 00:00:00,501201038,0.718,,
中国,Gross domestic product, current prices,2021-04-06 00:00:00,2019-12-31 00:00:00,501201002,99070.84,
中国,Gross domestic product per capita, current prices,2022-10-11 00:00:00,2019-12-31 00:00:00,501201006,70259.02,
中国,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,2022-10-11 00:00:00,2019-12-31 00:00:00,501201009,16563.77,,
中国,Gross national savings:Percent of GDP,2021-04-06 00:00:00,2019-12-31 00:00:00,501201013,43.786,,
中国,Inflation, end of period consumer prices,2021-04-06 00:00:00,2019-12-31 00:00:00,501201017,4.5,
美国,Gross domestic product, constant prices,2021-04-06 00:00:00,2019-12-31 00:00:00,500101000,19032.68,
美国,Unemployment rate,2021-04-06 00:00:00,2019-12-31 00:00:00,500101023,3.675,,
美国,General government primary net lending/borrowing,2021-04-06 00:00:00,2019-12-31 00:00:00,500101033,-674.929,,
美国,General government gross debt,2021-04-06 00:00:00,2019-12-31 00:00:00,500101037,23252.25,,
美国,General government gross debt:Percent of GDP,2021-04-06 00:00:00,2019-12-31 00:00:00,500101038,108.795,,
美国,Current account balance,2021-04-06 00:00:00,2019-12-31 00:00:00,500101040,-445.958,,
美国,Current account balance:Percent of GDP,2021-04-06 00:00:00,2019-12-31 00:00:00,500101041,-2.087,,
美国,General government primary net lending/borrowing:Percent of GDP,2021-04-06 00:00:00,2019-12-31 00:00:00,500101034,-3.158,,
美国,Gross domestic product corresponding to fiscal year, current prices,2021-04-06 00:00:00,2019-12-31 00:00:00,500101039,21372.6,
俄罗斯联邦,Volume of exports of goods,2021-04-06 00:00:00,2019-12-31 00:00:00,500901021,-3.0,,
俄罗斯联邦,General government total expenditure:Percent of GDP,2021-04-06 00:00:00,2019-12-31 00:00:00,500901027,33.752,,
俄罗斯联邦,Gross domestic product per capita, current prices,2021-04-06 00:00:00,2019-12-31 00:00:00,500901006,746910.03,
俄罗斯联邦,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,2021-04-06 00:00:00,2019-12-31 00:00:00,500901009,28495.03,,
俄罗斯联邦,Gross national savings:Percent of GDP,2021-04-06 00:00:00,2019-12-31 00:00:00,500901013,26.533,,
俄罗斯联邦,Inflation, end of period consumer prices,2021-04-06 00:00:00,2019-12-31 00:00:00,500901017,3.046,
俄罗斯联邦,Gross domestic product, constant prices,2021-04-06 00:00:00,2019-12-31 00:00:00,500901000,91596.7,
中国,Gross domestic product, constant prices,2021-04-06 00:00:00,2019-12-31 00:00:00,501201000,89451.02,
中国,Gross domestic product, constant prices:%,2021-04-06 00:00:00,2019-12-31 00:00:00,501201001,5.951,
中国,Gross domestic product, current prices,2021-04-06 00:00:00,2019-12-31 00:00:00,501201003,14340.6,
中国,Gross domestic product, deflator,2021-04-06 00:00:00,2019-12-31 00:00:00,501201004,110.754,
中国,Gross domestic product per capita, constant prices,2022-10-11 00:00:00,2019-12-31 00:00:00,501201005,63436.84,
中国,Gross domestic product per capita, current prices,2022-10-11 00:00:00,2019-12-31 00:00:00,501201007,10170.06,
中国,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,2021-04-06 00:00:00,2019-12-31 00:00:00,501201008,23356.24,,
中国,Gross domestic product based on purchasing-power-parity (PPP) share of world total,2021-04-06 00:00:00,2019-12-31 00:00:00,501201010,17.219,,
中国,Implied PPP conversion rate,2021-04-06 00:00:00,2019-12-31 00:00:00,501201011,4.242,,
中国,Total investment:Percent of GDP,2021-04-06 00:00:00,2019-12-31 00:00:00,501201012,43.068,,
中国,Inflation, average consumer prices,2021-04-06 00:00:00,2019-12-31 00:00:00,501201014,108.843,
中国,Inflation, average consumer prices,2021-04-06 00:00:00,2019-12-31 00:00:00,501201015,2.903,
中国,Inflation, end of period consumer prices,2021-04-06 00:00:00,2019-12-31 00:00:00,501201016,111.386,
中国,Volume of imports of goods and services,2022-10-11 00:00:00,2019-12-31 00:00:00,501201018,-3.662,,
中国,Volume of Imports of goods,2022-10-11 00:00:00,2019-12-31 00:00:00,501201019,0.438,,
中国,Volume of exports of goods and services,2022-10-11 00:00:00,2019-12-31 00:00:00,501201020,0.445,,
中国,Volume of exports of goods,2022-10-11 00:00:00,2019-12-31 00:00:00,501201021,-0.277,,
中国,Unemployment rate,2022-10-11 00:00:00,2019-12-31 00:00:00,501201022,3.62,,
中国,Population,2022-10-11 00:00:00,2019-12-31 00:00:00,501201023,1410.08,,
美国,Gross domestic product, current prices,2018-05-15 00:00:00,2019-12-31 00:00:00,500101003,21372.6,
美国,Gross domestic product per capita, current prices,2018-05-15 00:00:00,2019-12-31 00:00:00,500101007,65051.88,
美国,Gross domestic product, constant prices:%,2021-04-06 00:00:00,2019-12-31 00:00:00,500101001,2.289,
美国,Gross domestic product, current prices,2021-04-06 00:00:00,2019-12-31 00:00:00,500101002,21372.6,
美国,Gross domestic product, deflator,2021-04-06 00:00:00,2019-12-31 00:00:00,500101004,112.294,
美国,Gross domestic product per capita, constant prices,2021-04-06 00:00:00,2019-12-31 00:00:00,500101005,57929.84,
美国,Gross domestic product per capita, current prices,2021-04-06 00:00:00,2019-12-31 00:00:00,500101006,65051.88,
美国,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,2021-04-06 00:00:00,2019-12-31 00:00:00,500101009,21372.6,,
美国,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,2021-04-06 00:00:00,2019-12-31 00:00:00,500101010,65051.88,,
美国,Gross domestic product based on purchasing-power-parity (PPP) share of world total,2021-04-06 00:00:00,2019-12-31 00:00:00,500101011,15.757,,
美国,Implied PPP conversion rate,2021-04-06 00:00:00,2019-12-31 00:00:00,500101012,1.0,,
美国,Total investment:Percent of GDP,2021-04-06 00:00:00,2019-12-31 00:00:00,500101013,21.365,,
美国,Gross national savings:Percent of GDP,2021-04-06 00:00:00,2019-12-31 00:00:00,500101014,19.446,,
美国,Inflation, average consumer prices,2021-04-06 00:00:00,2019-12-31 00:00:00,500101015,255.647,
美国,Inflation, average consumer prices,2021-04-06 00:00:00,2019-12-31 00:00:00,500101016,1.811,
美国,Inflation, end of period consumer prices,2021-04-06 00:00:00,2019-12-31 00:00:00,500101017,258.202,
美国,Inflation, end of period consumer prices,2021-04-06 00:00:00,2019-12-31 00:00:00,500101018,2.059,
美国,Volume of imports of goods and services,2021-04-06 00:00:00,2019-12-31 00:00:00,500101019,1.15,,
美国,Volume of Imports of goods,2021-04-06 00:00:00,2019-12-31 00:00:00,500101020,0.531,,
美国,Volume of exports of goods and services,2021-04-06 00:00:00,2019-12-31 00:00:00,500101021,-0.067,,
美国,Volume of exports of goods,2021-04-06 00:00:00,2019-12-31 00:00:00,500101022,-0.061,,
美国,Population,2021-04-06 00:00:00,2019-12-31 00:00:00,500101024,328.547,,
美国,General government revenue,2021-04-06 00:00:00,2019-12-31 00:00:00,500101025,6469.45,,
美国,General government revenue:Percent of GDP,2021-04-06 00:00:00,2019-12-31 00:00:00,500101026,30.27,,
美国,General government total expenditure,2021-04-06 00:00:00,2019-12-31 00:00:00,500101027,7635.6,,
美国,General government total expenditure:Percent of GDP,2021-04-06 00:00:00,2019-12-31 00:00:00,500101028,35.726,,
美国,General government net lending/borrowing,2021-04-06 00:00:00,2019-12-31 00:00:00,500101029,-1166.15,,
美国,General government net lending/borrowing:Percent of GDP,2021-04-06 00:00:00,2019-12-31 00:00:00,500101030,-5.456,,
美国,General government structural balance,2021-04-06 00:00:00,2019-12-31 00:00:00,500101031,-1204.02,,
美国,General government structural balance:Percent of potential GDP,2021-04-06 00:00:00,2019-12-31 00:00:00,500101032,-5.671,,
俄罗斯联邦,Gross domestic product, constant prices:%,2021-04-06 00:00:00,2019-12-31 00:00:00,500901001,2.198,
俄罗斯联邦,Gross domestic product, current prices,2021-04-06 00:00:00,2019-12-31 00:00:00,500901002,109608.3,
俄罗斯联邦,Gross domestic product, current prices,2021-04-06 00:00:00,2019-12-31 00:00:00,500901003,1695.72,
俄罗斯联邦,Gross domestic product, deflator,2021-04-06 00:00:00,2019-12-31 00:00:00,500901004,119.664,
俄罗斯联邦,Gross domestic product per capita, constant prices,2021-04-06 00:00:00,2019-12-31 00:00:00,500901005,624172.57,
俄罗斯联邦,Gross domestic product per capita, current prices,2021-04-06 00:00:00,2019-12-31 00:00:00,500901007,11555.27,
俄罗斯联邦,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,2021-04-06 00:00:00,2019-12-31 00:00:00,500901008,4181.62,,
俄罗斯联邦,Gross domestic product based on purchasing-power-parity (PPP) share of world total,2021-04-06 00:00:00,2019-12-31 00:00:00,500901010,3.083,,
俄罗斯联邦,Volume of exports of goods,2022-10-11 00:00:00,2020-12-31 00:00:00,500901021,-1.5,,
俄罗斯联邦,General government total expenditure:Percent of GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500901027,39.25,,
俄罗斯联邦,Gross domestic product per capita, current prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500901006,734689.51,
俄罗斯联邦,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500901009,28181.24,,
俄罗斯联邦,Gross national savings:Percent of GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500901013,25.777,,
俄罗斯联邦,Inflation, end of period consumer prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500901017,4.912,
俄罗斯联邦,Gross domestic product, constant prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500901000,89156.8,
中国,Gross domestic product, constant prices,2022-10-11 00:00:00,2020-12-31 00:00:00,501201000,91457.91,
中国,Gross domestic product, constant prices:%,2022-10-11 00:00:00,2020-12-31 00:00:00,501201001,2.244,
中国,Gross domestic product, current prices,2022-10-11 00:00:00,2020-12-31 00:00:00,501201003,14862.56,
中国,Gross domestic product, deflator,2022-10-11 00:00:00,2020-12-31 00:00:00,501201004,112.142,
中国,Gross domestic product per capita, constant prices,2022-10-11 00:00:00,2020-12-31 00:00:00,501201005,64766.38,
中国,Gross domestic product per capita, current prices,2022-10-11 00:00:00,2020-12-31 00:00:00,501201007,10525.0,
中国,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,501201008,24168.03,,
中国,Gross domestic product based on purchasing-power-parity (PPP) share of world total,2022-10-11 00:00:00,2020-12-31 00:00:00,501201010,18.18,,
中国,Implied PPP conversion rate,2022-10-11 00:00:00,2020-12-31 00:00:00,501201011,4.244,,
中国,Total investment:Percent of GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,501201012,42.857,,
中国,Inflation, average consumer prices,2022-10-11 00:00:00,2020-12-31 00:00:00,501201014,111.447,
中国,Inflation, average consumer prices,2022-10-11 00:00:00,2020-12-31 00:00:00,501201015,2.392,
中国,Inflation, end of period consumer prices,2022-10-11 00:00:00,2020-12-31 00:00:00,501201016,111.046,
中国,Volume of imports of goods and services,2022-10-11 00:00:00,2020-12-31 00:00:00,501201018,-0.406,,
中国,Volume of Imports of goods,2022-10-11 00:00:00,2020-12-31 00:00:00,501201019,0.002,,
中国,Volume of exports of goods and services,2022-10-11 00:00:00,2020-12-31 00:00:00,501201020,2.61,,
中国,Volume of exports of goods,2022-10-11 00:00:00,2020-12-31 00:00:00,501201021,4.781,,
中国,Unemployment rate,2022-10-11 00:00:00,2020-12-31 00:00:00,501201022,4.24,,
中国,Population,2022-10-11 00:00:00,2020-12-31 00:00:00,501201023,1412.12,,
美国,Gross domestic product, current prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500101003,20893.75,
美国,Gross domestic product per capita, current prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500101007,63078.47,
美国,Gross domestic product, constant prices:%,2022-10-11 00:00:00,2020-12-31 00:00:00,500101001,-3.405,
美国,Gross domestic product, current prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500101002,20893.75,
美国,Gross domestic product, deflator,2022-10-11 00:00:00,2020-12-31 00:00:00,500101004,113.647,
美国,Gross domestic product per capita, constant prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500101005,55503.62,
美国,Gross domestic product per capita, current prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500101006,63078.47,
美国,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500101009,20893.75,,
美国,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500101010,63078.47,,
美国,Gross domestic product based on purchasing-power-parity (PPP) share of world total,2022-10-11 00:00:00,2020-12-31 00:00:00,500101011,15.717,,
美国,Implied PPP conversion rate,2022-10-11 00:00:00,2020-12-31 00:00:00,500101012,1.0,,
美国,Total investment:Percent of GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500101013,21.152,,
美国,Gross national savings:Percent of GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500101014,19.158,,
美国,Inflation, average consumer prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500101015,258.838,
美国,Inflation, average consumer prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500101016,1.249,
美国,Inflation, end of period consumer prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500101017,262.202,
美国,Inflation, end of period consumer prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500101018,1.549,
美国,Volume of imports of goods and services,2022-10-11 00:00:00,2020-12-31 00:00:00,500101019,-8.933,,
美国,Volume of Imports of goods,2022-10-11 00:00:00,2020-12-31 00:00:00,500101020,-5.639,,
美国,Volume of exports of goods and services,2022-10-11 00:00:00,2020-12-31 00:00:00,500101021,-13.561,,
美国,Volume of exports of goods,2022-10-11 00:00:00,2020-12-31 00:00:00,500101022,-10.162,,
美国,Population,2022-10-11 00:00:00,2020-12-31 00:00:00,500101024,331.234,,
美国,General government revenue,2022-10-11 00:00:00,2020-12-31 00:00:00,500101025,6436.15,,
美国,General government revenue:Percent of GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500101026,30.804,,
美国,General government total expenditure,2022-10-11 00:00:00,2020-12-31 00:00:00,500101027,9464.0,,
美国,General government total expenditure:Percent of GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500101028,45.296,,
美国,General government net lending/borrowing,2022-10-11 00:00:00,2020-12-31 00:00:00,500101029,-3027.84,,
美国,General government net lending/borrowing:Percent of GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500101030,-14.492,,
美国,General government structural balance,2022-10-11 00:00:00,2020-12-31 00:00:00,500101031,-2339.34,,
美国,General government structural balance:Percent of potential GDP,2022-10-11 00:00:00,2020-12-31 00:00:00,500101032,-10.844,,
俄罗斯联邦,Gross domestic product, constant prices:%,2022-10-11 00:00:00,2020-12-31 00:00:00,500901001,-2.664,
俄罗斯联邦,Gross domestic product, current prices,2022-10-11 00:00:00,2020-12-31 00:00:00,500901002,107390.3,
