COMPANYCODE,公司代码
ReportDate,报告日期
MFRatio1,利润总额
MFRatio2,净利润
MFRatio3,扣除非经常性损益的净利润
MFRatio4,主营业务利润
MFRatio5,营业利润
MFRatio6,投资收益
MFRatio7,营业外收支净额
MFRatio8,经营活动产生的现金流量净额
MFRatio9,现金及现金等价物净增加额
MFRatio10,主营业务收入
MFRatio12,总资产
MFRatio13,股东权益不含少数股东权益
MFRatio14,每股收益(摊薄)xx
MFRatio15,每股收益(加权)
MFRatio16,扣除非经常性损益后的每股收益摊薄
MFRatio17,扣除非经常性损益后的每股收益加权平均
MFRatio18,每股净资产xx
MFRatio19,调整后的每股净资产
MFRatio20,每股经营活动产生的现金流量净额
MFRatio21,净资产收益率(摊薄)
MFRatio22,净资产收益率(加权)
MFRatio23,流动资产
MFRatio24,流动负债
MFRATIO25,负债总额
MFRATIO26,财务费用
MFRATIO27,资料来源途径
MFRatio28,基本每股收益
MFRatio29,稀释每股收益
MFRatio30,扣除非经常性损益后基本每股收益
FinancialRatios1,流动比率
FinancialRatios2,速动比率
FinancialRatios3,应收账款周转率
FinancialRatios4,应收账款周转天数
FinancialRatios5,现金比率
FinancialRatios6,利息支付倍数
FinancialRatios7,长期债务与营运资金比率
FinancialRatios8,股东权益比率
FinancialRatios9,长期负债比率
FinancialRatios10,股东权益与固定资产比率
FinancialRatios11,负债与所有者权益比率
FinancialRatios12,长期资产与长期资金比率
FinancialRatios13,资本化比率
FinancialRatios14,固定资产净值率
FinancialRatios15,资本固定化比率
FinancialRatios16,产权比率
FinancialRatios17,清算价值比率
FinancialRatios18,固定资产比重
FinancialRatios19,存货周转率
FinancialRatios20,固定资产周转率
FinancialRatios21,总资产周转率
FinancialRatios22,存货周转天数
FinancialRatios23,总资产周转天数
FinancialRatios24,流动资产周转率
FinancialRatios25,流动资产周转天数
FinancialRatios26,总资产收益率
FinancialRatios27,主营业务利润率
FinancialRatios28,总资产净利润率
FinancialRatios29,成本费用利润率
FinancialRatios30,营业利润率
FinancialRatios31,主营业务成本率
FinancialRatios32,销售净利率
FinancialRatios33,股本报酬率
FinancialRatios34,净资产报酬率
FinancialRatios35,资产报酬率
FinancialRatios36,销售毛利率
FinancialRatios37,三项费用比重
FinancialRatios38,非主营比重
FinancialRatios39,主营利润比重
FinancialRatios40,摊薄每股收益
FinancialRatios41,股息发放率
FinancialRatios42,投资收益率
FinancialRatios43,主营业务收入增长率
FinancialRatios44,净利润增长率
FinancialRatios45,净资产增长率
FinancialRatios46,总资产增长率
FinancialRatios47,经营现金净流量对销售收入比率
FinancialRatios48,资产的经营现金流量回报率
FinancialRatios49,经营现金净流量与净利润的比率
FinancialRatios50,经营现金净流量对负债比率
FinancialRatios51,现金流量比率
FinancialRatios52,股东权益周转率
FinancialRatios53,每股收益(摊薄)
FinancialRatios54,每股净资产
FinancialRatios55,每股经营性现金流
FinancialRatios56,资产负债率
FinancialRatios57,主营业务利润
FinancialRatios58,总资产
FinancialRatios59,净资产收益率
FinancialRatios61,加权每股收益
FinancialRatios62,加权净资产收益率
FinancialRatios63,每股资本公积金
FinancialRatios64,每股收益(扣除非经常性损益)
FinancialRatios65,扣除非经常性损益后的净利润
FinancialRatios66,每股未分配利润
FinancialRatios60,调整后的每股净资产
FinancialRatios67,短期股票投资
FinancialRatios68,短期债券投资
FinancialRatios69,短期其它经营性投资
FinancialRatios70,长期股票投资
FinancialRatios71,长期债券投资
FinancialRatios72,长期其它经营性投资
FinancialRatios73,1年以内应收帐款
FinancialRatios74,1-2年以内应收帐款
FinancialRatios75,2-3年以内应收帐款
FinancialRatios76,3年以内应收帐款
FinancialRatios77,1年以内预付货款
FinancialRatios78,1-2年以内预付货款
FinancialRatios79,2-3年以内预付货款
FinancialRatios80,3年以内预付货款
FinancialRatios81,1年以内其它应收款
FinancialRatios82,1-2年以内其它应收款
FinancialRatios83,2-3年以内其它应收款
FinancialRatios84,3年以内其它应收款
FinancialRatios85,每股净资产_调整前